#header file: processors,avg,error_bar,run1,run2,run3,avg_elapsed

 1,263.20461494,0.32758865,263.63683353,262.99535506,262.98165623,423.47
 4,263.402059827,0.03642262,263.40130764,263.36601330,263.43885854,423.743333333
 8,265.282609457,0.167055915,265.18177596,265.16597029,265.50008212,425.673333333
12,266.187256703,0.445164475,266.06181040,266.69514433,265.80481538,426.62
16,270.12773643,1.078376145,269.55561276,271.49217441,269.33542212,430.613333333
20,273.169837883,1.737455645,271.94855950,272.13748336,275.42347079,433.713333333
24,278.755999073,4.829304075,277.61049591,284.15805473,274.49944658,439.363333333
28,301.677783317,0.55418197,301.16733422,302.27569816,301.59031757,502.403333333
32,317.172563117,2.68240233,319.71436428,314.34955962,317.45376545,519.16
36,309.573818727,4.26565106,314.56144199,306.03013987,308.12987432,510.613333333
40,334.11121817,7.0719032,342.20025934,328.05645294,332.07694223,535.273333333
44,331.886486523,4.56648302,326.41337514,335.54634118,333.69974325,531.216666667
48,354.168897413,12.84486159,366.69204788,341.00232470,354.81231966,555.016666667
